timestamp,reconstruction_error,actual_fault,predicted_fault
0,0.4386710501903047,0,0
1,0.4378718319747422,0,0
2,0.423527773479232,0,0
3,0.408189755173166,0,0
4,0.3998824361894543,0,0
5,0.39530585062205836,0,0
6,0.38949683841380817,0,0
7,0.38750131473004057,0,0
8,0.3943694416390434,0,0
9,0.3889232866035607,0,0
10,0.38442041040929364,0,0
11,0.38503312299672815,0,0
12,0.3802372828019952,0,0
13,0.38261133033975925,0,0
14,0.3828912330446602,0,0
15,0.39092854442332625,0,0
16,0.39686598245517707,0,0
17,0.4036492560875262,0,0
18,0.40061342208387113,0,0
19,0.3953710661729303,0,0
20,0.3942342121825852,0,0
21,0.39177686448405413,0,0
22,0.39594917140331254,0,0
23,0.4051155723175804,0,0
24,0.4183001554094625,0,0
25,0.42480165755736815,0,0
26,0.41561080329622385,0,0
27,0.4155780117314204,0,0
28,0.41584229472525497,0,0
29,0.4119725594641864,0,0
30,0.4063960650844982,0,0
31,0.3994668941983173,0,0
32,0.39763361687780724,0,0
33,0.39508653515647263,0,0
34,0.3907013407017128,0,0
35,0.38710822079781837,0,0
36,0.3929234833205981,0,0
37,0.39057736965543566,0,0
38,0.3842422301486964,0,0
39,0.39907017742665696,0,0
40,0.41581924509185364,0,0
41,0.42450034569335865,0,0
42,0.4283611629722539,0,0
43,0.4311104694345628,0,0
44,0.4364508199000296,0,0
45,0.438700638061312,0,0
46,0.437897219117164,0,0
47,0.43701926643873523,0,0
48,0.4386797696105965,0,0
49,0.44336307404355424,0,0
50,0.4452207410846102,0,0
51,0.45211586991969305,0,0
52,0.4568834695675559,0,0
53,0.45481353886456677,0,0
54,0.454087317242572,0,0
55,0.4573477562965762,0,0
56,0.4546202061664273,0,0
57,0.4509911622589519,0,0
58,0.44849216142583137,0,0
59,0.4506783126830224,0,0
60,0.46356701286312557,0,0
61,0.46834888260938146,0,0
62,0.46375665941413236,0,0
63,0.46613973954888305,0,0
64,0.4671559670606724,0,0
65,0.4711719889642796,0,0
66,0.4696234176421648,0,0
67,0.4690362945800378,0,0
68,0.47293423469420026,0,0
69,0.4657549901840945,0,0
70,0.4637666304314879,0,0
71,0.455083904329316,0,0
72,0.448508903764914,0,0
73,0.44297074759901894,0,0
74,0.4367572598176198,0,0
75,0.4257980274704808,0,0
76,0.4220827501447588,0,0
77,0.41844561909290573,0,0
78,0.41673695787381937,0,0
79,0.425634773033804,0,0
80,0.4360783590889872,1,0
81,0.46653078364925576,0,0
82,0.4777233646793009,0,0
83,0.48517482914270255,0,1
84,0.5063788246017119,0,1
85,0.5183303619230886,0,1
86,0.5196935689920698,0,1
87,0.5281469112735384,0,1
88,0.5247086817381137,0,1
89,0.5275188454108908,0,1
90,0.5178801968970884,0,1
91,0.5151713751109191,0,1
92,0.5160644098149648,0,1
93,0.5147260047857503,0,1
94,0.5125013149876403,0,1
95,0.5010560665255959,0,1
96,0.5001277167148986,0,1
97,0.49628815515629054,0,1
98,0.4947279192012088,0,1
99,0.49246901428564105,0,1
100,0.48802629908069983,0,1
101,0.4908333042614246,0,1
102,0.49364168968137534,0,1
103,0.49329452658116585,0,1
104,0.491682048950654,0,1
105,0.4888194111424498,0,1
106,0.48733495549688244,0,1
107,0.48801909795787357,0,1
108,0.49159697920743306,0,1
109,0.4957733910258343,0,1
110,0.4947265287283771,0,1
111,0.48181202078476043,0,0
112,0.48835265656962384,0,1
113,0.4899700545447454,0,1
114,0.4739603419700086,0,0
115,0.46217979738297127,0,0
116,0.44584485972102544,0,0
117,0.43199779177988334,0,0
118,0.41723066197685577,0,0
119,0.40092596843287476,0,0
120,0.3874315126561779,0,0
121,0.37252598378418833,0,0
122,0.36159111031242624,0,0
123,0.3569539949991655,0,0
124,0.35898398675578763,0,0
125,0.36097053991011535,0,0
126,0.36472295534832616,0,0
127,0.3629847074184261,0,0
128,0.35856497854105235,0,0
129,0.36161324817400214,0,0
130,0.3630838757712261,0,0
131,0.36354920412853514,0,0
132,0.3632346285947427,0,0
133,0.36233452684411316,0,0
134,0.36105835957152044,0,0
135,0.3563730308749859,0,0
